No. (code)	ID	区分	文献名	地域種別	略称	作成順	作成年代	標準	公／私	所蔵
1 (H03)	dng	南北朝写本	S81大般涅槃経巻十一	CM	S81	506	506	標準		BL
2 (H02)	keg	南北朝写本	S2067華厳経巻十六	CM	S2067	513	513	標準	公的	BL
3 (H01)	jou	南北朝写本	P2179誠実論巻八	CM	P2179	514	514	標準	公的	BNF
4 (H05)	mam	南北朝写本	P2160摩訶摩耶経巻上	CM	P2160	586	586	標準		BNF
5 (H06)	drt	隋写本	P2413大楼炭経巻三	CM	P2413	589	589	標準		BNF
6 (H07)	kgk	隋写本	賢劫経巻二	CM	賢劫経二	610	610		私的	正倉院
7 (H08)	myz	隋写本	P2334妙法蓮華経巻五	CM	P2334	617	617	標準		BNF
8 (H10)	khi	初唐写本	今西本妙法蓮華経巻五	CM	宮廷今西	671	671	標準	公的	京都国立博物館 
9 (H12)	fhs	初唐写本	P2195妙法蓮華経巻六	CM	P2195	675	675	標準	公的	BNF
10 (H11)	khm	初唐写本	守屋本妙法蓮華経巻三	CM	宮廷守屋	675	675	標準	公的	京都国立博物館 
11 (H13)	hok	初唐写本	S2577妙法蓮華経巻八	CM	S2577	690	7C末		私的	BL
12 (H14)	kyd	初唐写本	上野本漢書揚雄伝	CM	漢書揚雄	691	初唐		私的	個人蔵
13 (H15)	sok	則天写本	守屋本花厳経巻八	CM	華厳守屋	695	則天期		私的	京都国立博物館 
14 (H16)	yhk	盛唐写本	S2423瑜伽法鏡経	CM	S2423	712	712	標準		BL
15 (H78)	sts	盛唐写本	四分律巻第二十	CM	正四分20	740	740頃	標準		正倉院
16 (H70)	saa	盛唐写本	阿毘達磨大毘婆沙論巻百七十	CM	正毘170	800	8C初		私的	正倉院
17 (H71)	sab	盛唐写本	阿毘達磨大毘婆沙論巻百七十八	CM	正毘178	801	8C初		私的	正倉院
18 (H09)	kda	高昌写本	大品経巻二十八	CM	京博大品	802	高昌期	標準		京都国立博物館 
19 (H22)	sys	吐蕃写本	S5309瑜伽師地論巻三十	CM	S5309	857	857		私的	BL
20 (H49)	wan	大和寧写本	花厳経巻三十八	X	和寧花38	900	9-10C	標準		個人蔵
21 (H72)	wks	大和寧写本	守屋本花厳経巻六十七	X	和寧花67	901	9-10C	標準		京都国立博物館 
22 (H73)	wke	大和寧写本	守屋本花厳経巻六十八	X	和寧花68	902	9-10C	標準		京都国立博物館 
23 (H81)	wkf	大和寧写本	花厳経巻六	X	和寧花6	903	9-10C	標準		
24 (H18)	kar	開成石経	開成石経論語	CP	開成論語	837	837	標準	公的	東洋文庫
25 (H19)	kae	開成石経	開成石経周易	CP	開成周易	837	837	標準	公的	東洋文庫
26 (H17)	kak	開成石経	開成石経孝経	CP	開成孝経	837	837	標準	公的	東洋文庫
27 (H80)	skj	北宋版	開宝蔵十誦律巻四十六	CP	開宝十誦	974	974	標準	公的	書道博物館
29 (H25)	tzj	北宋版	東禅寺版阿毘達磨大毘婆沙論巻百七	CP	東禅毘婆	1100	1100	標準		京都国立博物館
30 (H29)	jhk	北宋版	開元寺版道神足無極変化経巻四	CP	開元神足	1126	1126	標準		北海学園大学
31 (H24)	tsu	北宋版	通典巻一	CP	通典巻一	1050	11C	標準		書陵部
32 (H26)	hos	北宋版	斉民要術	CP	斉民要術	1100	12C初		私的	高山寺
33 (H27)	kkh	北宋版	金剛般若経	CP	京博金般	1101	北宋期か		私的	京都国立博物館
34 (H28)	nak	南宋版	華厳経内章門等雑孔目巻一	CP	華厳孔目	1146	1146	標準		高山寺
35 (H30)	hod	南宋版	法蔵和尚伝	CP	法蔵和尚	1149	1149	標準		高山寺
36 (H31)	gok	南宋版	後漢書光武帝紀	CP	光武帝紀	1198	1198	標準		
37 (H74)	smk	西夏版	妙法蓮華経巻一	CP	西夏法華	1149	1149	標準		ロシア東方研究所
38 (H50)	okd	日本写本	小川本金剛場陀羅尼経	JM	金剛小川	686	686	標準		個人蔵
39 (H54)	wad	日本写本	和銅経大般若経巻二百五十	JM	和銅250	712	712	標準	公的	
40 (H55)	kmi	日本写本	高山寺本弥勒上生経	JM	弥勒上生	738	738	標準		高山寺
