見出し文字	異体字	統合ID	大字典	大漢和	UCS
一	弌	00001	00001	M00001	4E00
丁		00002	00002	M00002	4E01
七		00004	00004	M00006	4E03
丈		00006	00006	M00011	4E08
丈		00006b	00006	M00011	4E08
三		00007	00007	M00012	4E09
上		00008	00008	M00013	4E0A
下		00009	00009	M00014	4E0B
不		00013	00013	M00019	4E0D
丑		00017	00017	M00023	4E11
且		00020	00020	M00029	4E14
丕		00023	00023	M00030	4E15
世	丗	00025	00025	M00031	4E16
世	丗	00025b	00025	M00031	4E16
丘		00026	00026	M00033	4E18
丙		00027	00027	M00035	4E19
丞		00029	00029	M00040	4E1E
中		00051	00051	M00073	4E2D
串		00059	00059	M00080	4E32
丸		00068	00068	M00094	4E38
丹		00069	00069	M00099	4E39
主		00070	00070	M00100	4E3B
乃		00078	00078	M00113	4E43
久		00085	00085	M00118	4E45
久		00085b	00085	M00118	4E45
之		00088	00088	M00125	4E4B
乍		00090	00090	M00130	4E4D
乎		00092	00092	M00131	4E4E
乎		00092b	00092	M00131	4E4E
乏		00093	00093	M00133	4E4F
乖		00100	00100	M00149	4E56
乘	乗	00102	00102	M00154	4E58
乙		00104	00104	M00161	4E59
九		00107	00107	M00167	4E5D
乞		00108	00108	M00170	4E5E
也		00109	00109	M00171	4E5F
乳		00113	00113	M00190	4E73
乾		00118	00118	M00204	4E7E
乾		00118b	00118	M00204	4E7E
亂	乱	00121	00121	M00214	4E82
亂	乱	00121b	00121	M00214	4E82
亂	乱	00121c	00121	M00214	4E82
了		00125	00125	M00226	4E86
予		00126	00126	M00231	4E88
事	亊	00128	00128	M00241	4E8B
事	亊	00128b	00128	M00241	4E8B
二	弍弐	00129	00129	M00247	4E8C
于		00132	00132	M00252	4E8E
于		00132b	00132	M00252	4E8E
云		00133	00133	M00254	4E91
互		00134	00134	M00255	4E92
互		00134b	00134	M00255	4E92
五		00135	00135	M00257	4E94
井		00136	00136	M00258	4E95
亘		00139	00139	M00262	4E98
亞	亜	00146	00146	M00274	4E9E
亟		00148	00148	M00279	4E9F
亡		00150	00150	M00287	4EA1
亡		00150b	00150	M00287	4EA1
亢		00151	00151	M00288	4EA2
交		00152	00152	M00291	4EA4
亥		00153	00153	M00292	4EA5
亥		00153b	00153	M00292	4EA5
亦		00154	00154	M00293	4EA6
亦		00154b	00154	M00293	4EA6
亨		00155	00155	M00295	4EA8
享		00156	00156	M00298	4EAB
京	亰	00157	00157	M00299	4EAC
亭		00160	00160	M00303	4EAD
亮		00161	00161	M00304	4EAE
亶		00166	00166	M00328	4EB6
亹		00167	00167	M00342	4EB9
人		00168	00168	M00344	4EBA
仁		00170	00170	M00349	4EC1
仆		00173	00173	M00354	4EC6
仇		00174	00174	M00355	4EC7
今		00175	00175	M00358	4ECA
今		00175b	00175	M00358	4ECA
介		00176	00176	M00359	4ECB
仍		00177	00177	M00361	4ECD
什		00180	00180	M00348	4EC0
仕		00182	00182	M00368	4ED5
他		00183	00183	M00370	4ED6
仗		00184	00184	M00371	4ED7
付		00185	00185	M00373	4ED8
仙		00186	00186	M00374	4ED9
仞	仭	00189	00189	M00379	4EDE
